id,site,job_url,job_url_direct,title,company,location,date_posted,job_type,salary_source,interval,min_amount,max_amount,currency,is_remote,job_level,job_function,listing_type,emails,description,company_industry,company_url,company_logo,company_url_direct,company_addresses,company_num_employees,company_revenue,company_description,skills,experience_range,company_rating,company_reviews_count,vacancy_count,work_from_home_type,city,country,search_date
li-4293264943,linkedin,https://www.linkedin.com/jobs/view/4293264943,,AI大模型算法工程师(J35513),Beisen Middleware Test Company,"Dongcheng District, Beijing, China",2025-08-30,,,,,,,False,,,,,,,https://www.linkedin.com/company/beisen-middleware-test-company,,,,,,,,,,,,,Beijing,China,2025-09-02
li-4287905720,linkedin,https://www.linkedin.com/jobs/view/4287905720,,Research Scientist,Zhongguancun Academy,"Haidian District, Beijing, China",2025-08-18,,,,,,,False,,,,,,,https://www.linkedin.com/company/zgca,,,,,,,,,,,,,Beijing,China,2025-09-02
li-4292833992,linkedin,https://www.linkedin.com/jobs/view/4292833992,,AI/ML Engineer,PayPal,"Singapore, Singapore",2025-08-29,,,,,,,False,,,,,,,https://www.linkedin.com/company/paypal,,,,,,,,,,,,,Singapore,Singapore,2025-09-02
li-4292161536,linkedin,https://www.linkedin.com/jobs/view/4292161536,,Artificial Intelligence Engineer,BAH Partners,"Singapore, Singapore",2025-08-28,,,,,,,False,,,,,,,https://hk.linkedin.com/company/bah,,,,,,,,,,,,,Singapore,Singapore,2025-09-02
li-4282287615,linkedin,https://www.linkedin.com/jobs/view/4282287615,,AI / ML Engineer,"NTT DATA, Inc.","Singapore, Singapore",2025-08-13,,,,,,,False,,,,,,,https://jp.linkedin.com/company/ntt-data-inc,,,,,,,,,,,,,Singapore,Singapore,2025-09-02
li-4133053731,linkedin,https://www.linkedin.com/jobs/view/4133053731,,Junior Data Analyst,Capgemini,"Singapore, Singapore",2025-08-12,,,,,,,False,,,,,,,https://fr.linkedin.com/company/capgemini,,,,,,,,,,,,,Singapore,Singapore,2025-09-02
li-4282477383,linkedin,https://www.linkedin.com/jobs/view/4282477383,,Machine Learning Engineer,Nicoll Curtin,"Singapore, Singapore",2025-08-11,,,,,,,False,,,,,,,https://uk.linkedin.com/company/nicoll-curtin,,,,,,,,,,,,,Singapore,Singapore,2025-09-02
li-4291129342,linkedin,https://www.linkedin.com/jobs/view/4291129342,,AI Engineer,Amity Solutions,"Bangkok, Bangkok City, Thailand",2025-08-29,,,,,,,False,,,,,,,https://th.linkedin.com/company/amity-solutions-hq,,,,,,,,,,,,,Bangkok,Thailand,2025-09-02
li-4292882826,linkedin,https://www.linkedin.com/jobs/view/4292882826,,Machine Learning Engineer,"TNT MEDIA & NETWORK CO., LTD.","Bangkok, Bangkok City, Thailand",2025-08-29,,,,,,,False,,,,,,,https://th.linkedin.com/company/tnt-media-&-network-co--ltd-,,,,,,,,,,,,,Bangkok,Thailand,2025-09-02
li-4291899927,linkedin,https://www.linkedin.com/jobs/view/4291899927,,Machine Learning Engineer (LLM),BJAK,"Bangkok, Bangkok City, Thailand",2025-08-27,,,,,,,False,,,,,,,https://my.linkedin.com/company/bjak,,,,,,,,,,,,,Bangkok,Thailand,2025-09-02
li-4278487199,linkedin,https://www.linkedin.com/jobs/view/4278487199,,Data Scientist (AI_ML Data Science),Krungthai Bank,,2025-08-04,,,,,,,False,,,,,,,https://th.linkedin.com/company/krung-thai-bank-public-company-limited,,,,,,,,,,,,,Bangkok,Thailand,2025-09-02
li-4179430571,linkedin,https://www.linkedin.com/jobs/view/4179430571,,Leave Your Resume Here (Robotics & Automation Engineering),SCG,"Bangkok, Bangkok City, Thailand",2025-04-23,,,,,,,False,,,,,,,https://th.linkedin.com/company/scg_2,,,,,,,,,,,,,Bangkok,Thailand,2025-09-02
li-4269385684,linkedin,https://www.linkedin.com/jobs/view/4269385684,,Software Engineer - Machine Learning and Experimentation Platform,Traveloka,,2025-08-30,,,,,,,False,,,,,,,https://sg.linkedin.com/company/traveloka,,,,,,,,,,,,,Jakarta,Indonesia,2025-09-02
li-4292194283,linkedin,https://www.linkedin.com/jobs/view/4292194283,,Data Scientist,Dexa Group,"Jakarta, Jakarta, Indonesia",2025-08-28,,,,,,,False,,,,,,,https://id.linkedin.com/company/pt-inertia-utama-dexa-group-,,,,,,,,,,,,,Jakarta,Indonesia,2025-09-02
li-4275886113,linkedin,https://www.linkedin.com/jobs/view/4275886113,,🧠 Data Scientist | Ubah Data Jadi Kecerdasan — dengan Logika Tajam & Hati yang Rendah Hati,PT. RAKHASA ARTHA WISESA,"Jakarta, Jakarta, Indonesia",2025-07-26,,,,,,,False,,,,,,,https://id.linkedin.com/company/rakhasa,,,,,,,,,,,,,Jakarta,Indonesia,2025-09-02
li-4264111044,linkedin,https://www.linkedin.com/jobs/view/4264111044,,🤖 AI Engineer | Bangun Kecerdasan Buatan yang Cerdas — dengan Hati yang Tulus dan Rendah Hati,PT. RAKHASA ARTHA WISESA,"Jakarta, Jakarta, Indonesia",2025-06-13,,,,,,,False,,,,,,,https://id.linkedin.com/company/rakhasa,,,,,,,,,,,,,Jakarta,Indonesia,2025-09-02
li-4294117581,linkedin,https://www.linkedin.com/jobs/view/4294117581,,Machine Learning Engineer,Nawatech,"Pondok Aren, Banten, Indonesia",,,,,,,,False,,,,,,,https://id.linkedin.com/company/nawatech,,,,,,,,,,,,,Jakarta,Indonesia,2025-09-02
in-51531b9b333d0066,indeed,https://www.indeed.com/viewjob?jk=51531b9b333d0066,https://app.jobvite.com/CompanyJobs/Job.aspx?j=otqtxfwD&loc=CpIYWfwL&s=Indeed,Staff Software Engineer - Applications Engineering,Ookla,"Memphis, TN, US",2025-08-25,fulltime,direct_data,yearly,180000.0,202000.0,USD,False,,,,,"**The Opportunity:**

We’re looking for a Staff Software Engineer on our Applications Engineering team with deep expertise in backend engineering, distributed systems, and data-intensive architectures. This role will focus on designing, implementing, and scaling systems that ingest, process, and serve billions of data points, enabling mission-critical insights for millions of users worldwide.

This is a high-impact technical leadership role: you will shape architectural direction, mentor engineers, and work cross-functionally with product, architecture, research, and infrastructure teams.

**Key Responsibilities:**

* Design and build scalable, fault-tolerant backend systems in Go, ensuring high throughput and low latency for massive data pipelines.
* Develop and optimize distributed data processing architectures leveraging AWS services (e.g., S3, Athena, Lambda, Redshift, Glue, ECS/EKS).
* Architect solutions for real-time data ingestion and transformation, powering analytics, ML/AI pipelines, and user-facing features.
* Champion best practices in system design, including observability, performance tuning, and security.
* Mentor and guide engineers across teams, elevating engineering standards and fostering technical excellence.
* Partner closely with product managers, scientists, and business stakeholders to translate requirements into robust engineering solutions.
* Lead technical roadmap initiatives, balancing short-term delivery with long-term scalability and maintainability.
* Curiosity and interest in AI-driven software development

**Job Qualifications:**

* Bachelor’s or Master’s degree in Computer Science, Engineering, or equivalent experience.
* 8+ years of backend engineering experience, with at least 4+ years in senior/staff-level roles designing complex distributed systems.
* Strong expertise in Go (primary language), with solid experience in at least one additional backend language (e.g., Python, Java, or Ruby).
* Deep experience with cloud-native architectures on AWS, including containerization and orchestration (ECS, EKS, Kubernetes).
* Proven ability to design high-performance APIs, microservices, and event-driven systems.
* Strong understanding of data engineering fundamentals: streaming (Kafka, Kinesis), storage formats (Parquet, Iceberg), and query engines (Athena, Singlestore, Presto).
* Proficiency with SQL and NoSQL databases (PostgreSQL, DynamoDB, Redis, Redshift).
* Experience implementing observability stacks (metrics, tracing, logging) and resilience patterns (circuit breakers, retries, failover).
* Familiarity with real-time analytics, data governance, or ML/AI infrastructure.
* Excellent troubleshooting and analysis skills
* Strong communication skills both in person and via virtual mediums
* Strong planning and time management skills
* A self-driven work ethic
* Excited to learn and work with new technologies in a dynamic environment
* Background Check Required

**About**

Ookla® is a global leader in connectivity intelligence, offering unparalleled network insights through the combined expertise of Speedtest®, Downdetector®, RootMetrics®, and Ekahau®. Ookla’s complementary datasets combine crowdsourced and controlled, public and private collection methods, QoS and QoE metrics, and more to unlock correlations and actionable insights — helping organizations optimize networks, enhance digital experiences, and create better connected experiences for end-users.

Our team is a group of people brought together through passion and inspired by possibility. We are looking for team members who love solving problems, are motivated by challenges, and enjoy turning clever ideas into exceptional products. When you work for us, you are using Ookla data and insights to advance our mission of better connectivity for all.

**About Ziff Davis**

Ziff Davis (NASDAQ: ZD) is a vertically focused digital media and internet company whose portfolio includes leading brands in technology, shopping, gaming and entertainment, connectivity, health, cybersecurity, and martech. Today, Ziff Davis is focused on seven key verticals – Technology, Connectivity, Shopping, Entertainment, Health & Wellness, Cybersecurity and Marketing Technology. Its brands include IGN, Mashable, RetailMeNot, PCMag, Humble Bundle, Spiceworks, Ookla (Speedtest), RootMetrics, Everyday Health, BabyCenter, Moz, iContact and Vipre Security.

**Our Benefits**

Ookla offers competitive salaries in addition to robust, health and wellness-focused benefits, including comprehensive medical, dental, and vision coverage, as well as life and disability benefits. Our employees enjoy Flexible Spending Accounts (FSAs), a 401(k) with company match, and an Employee Stock Purchase Plan.

We are committed to work-life balance with Flexible Time Off, Volunteer Time Off, and paid holidays. We offer family building and caregiving support and generous Family Care and Parental leave, when you need it. We also provide Fitness Reimbursement and access to wellness programs, ensuring our team stays healthy both physically and mentally.

At Ziff Davis, we remain dedicated to creating an environment where everyone feels valued, respected, and empowered to succeed. We offer Employee Resource Groups, company-sponsored events, and regular opportunities for professional growth through educational support, mentorship programs, and career development resources. Our employees are recognized and celebrated through employee engagement programs and recognition awards.

If you're seeking a dynamic and collaborative work environment where you can see the direct impact of your performance and thrive both personally and professionally, then Ookla is the place for you.

**Compensation Range**

Ziff Davis provides a range for the base pay. Factors that may be used to determine your actual pay may include your specific job related knowledge, skills, experience, and geographic location. The salary compensation for this role is$180,000/year up to $202,000/year. Individual pay within the compensation range for this business unit specific role is determined based on a variety of factors including experience, scope of the role, capabilities to perform the role, education and training, as well as business and company performance.

Ziff Davis is an Equal Opportunity Employer. At Ziff Davis, Diversity, Equity, and Inclusion (DEI) has always been about fairness, equal opportunity, and belonging. DEI enables us to attract and retain the best talent, regardless of background or circumstances, while enabling our thousands of employees worldwide to thrive.",,https://www.indeed.com/cmp/Ookla,,http://www.ookla.com,"Seattle, WA",51 to 200,Decline to state,"Ookla® is the global leader in internet testing, data and analysis. Speedtest®, the company’s flagship product, is the most accurate way to measure internet performance and network diagnostics.",,,,,,,Manila,Philippines,2025-09-02
in-d4c40496d1e7b57b,indeed,https://www.indeed.com/viewjob?jk=d4c40496d1e7b57b,https://careers-ermcoeci.icims.com/jobs/5675/job?utm_source=indeed_integration&iis=Job%20Board&iisn=Indeed&indeed-apply-token=73a2d2b2a8d6d5c0a62696875eaebd669103652d3f0c2cd5445d3e66b1592b0f,Advanced Manufacturing Project Engineer,ERMCO,"Dyersburg, TN, US",2025-08-21,fulltime,direct_data,yearly,93546.0,136233.0,USD,False,,,,,"Overview:

**About ERMCO**

Electric Research and Manufacturing Cooperative, Inc. (ERMCO) is the leading manufacturer of distribution transformers and engineered electrical solutions, serving electric utilities, Original Equipment Manufacturers (OEMs), and industrial customers across North America. Headquartered in Dyersburg, Tenn., ERMCO delivers reliable, high-quality products that power homes, businesses, and communities across North America.

With a commitment to safety, operational excellence, and continuous improvement, ERMCO is at the forefront of supporting grid modernization and energy transition. Our vertically integrated operations, customer-focused culture, and investment in people and technology make ERMCO the Most Valued Partner for delivering resilient, sustainable power infrastructure for the future.

**Summary**

The Advanced Manufacturing Project Engineer is a pivotal role within our distribution transformer manufacturing organization, tasked with spearheading innovative manufacturing projects and driving technological advancements across production lines. This individual will work closely with the Advanced Manufacturing Engineering team and Plant Production to lead the implementation of cutting-edge manufacturing solutions, improve production efficiency, and ensure the highest standards of product quality. The ideal candidate will possess a strong background in manufacturing engineering, project management, and a proven track record of leading successful engineering projects in the manufacturing sector.

Responsibilities:

* Spearhead initiatives to incorporate cutting-edge manufacturing technologies and methodologies to improve efficiency, quality, and scalability.
* Manage project timelines, budgets, and resource allocation to ensure successful implementation.
* Collaborate with Advanced Manufacturing Engineering group to identify and implement new technologies and materials that can enhance transformer performance and longevity.
* Stay abreast of industry trends and technological advancements to propose innovative solutions for future product lines.
* Ensure manufacturing processes comply with standards and regulations specific to electrical distribution transformers.
* Lead efforts to make manufacturing processes more sustainable and environmentally friendly, including waste reduction and energy efficiency improvements.
* Ensure compliance with environmental regulations and standards, focusing on minimizing the environmental impact of transformer manufacturing.
* Work closely with the supply chain team to identify and mitigate risks associated with raw materials and component supplies.
* Implement lean manufacturing principles to streamline operations and reduce costs without compromising quality.
* Communicate effectively with stakeholders across the organization to align manufacturing projects with overall business goals.
* Identify potential project risks and develop contingency plans to mitigate these risks, ensuring projects are delivered on time and within budget.
* Regularly review and update risk management strategies in response to both internal and external changes affecting manufacturing.
* Mentor team members and identify opportunities for professional development to build a high-performing project team.
* Oversee the integration of Industry 4.0 technologies, such as IoT, AI, and robotics, into manufacturing processes to enhance productivity and product quality.
* Ensure the smooth implementation of these technologies while minimizing disruption to ongoing operations.
* Perform cost analysis on manufacturing processes to identify areas for cost reduction and efficiency gains.

Qualifications:  

* Bachelor’s degree or equivalent level of instruction in Manufacturing Engineering, Mechanical Engineering, Electrical Engineering, or a related field.
* Master’s degree or professional engineering certifications preferred.

* Minimum of 5 years of experience in manufacturing engineering, with at least 2 years in a project leadership role within a manufacturing environment.
* Proven success in leading and delivering complex engineering projects, with a focus on advanced manufacturing technologies and automation.
* Experience in the distribution transformer manufacturing industry is highly desirable.
* Strong background in Lean manufacturing and Six Sigma methodologies.

* In-depth knowledge of advanced manufacturing processes and technology integration.
* Proficient in project management tools and software.
* Strong understanding of mechanical and electrical engineering principles.
* Familiarity with industry standards, compliance requirements, and safety protocols.

* Exceptional leadership and team management skills.
* Excellent analytical, problem-solving, and decision-making abilities.
* Strong communication and interpersonal skills, capable of working effectively across all levels of the organization.
* Innovative and strategic thinker with a focus on continuous improvement.
* Highly organized with the ability to manage multiple projects and priorities simultaneously.

Join **ERMCO and TRANSFORM your career.**",,https://www.indeed.com/cmp/Ermco,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/06923fc940f358168cbacc11c9c1ec03,,,,,,,,,,,,Manila,Philippines,2025-09-02
in-d2e37895b3d6db58,indeed,https://www.indeed.com/viewjob?jk=d2e37895b3d6db58,https://careers-ermcoeci.icims.com/jobs/5670/job?utm_source=indeed_integration&iis=Job%20Board&iisn=Indeed&indeed-apply-token=73a2d2b2a8d6d5c0a62696875eaebd669103652d3f0c2cd5445d3e66b1592b0f,Technology Project Engineer,ERMCO,"Dyersburg, TN, US",2025-08-15,fulltime,direct_data,yearly,93431.0,133401.0,USD,False,,,,,"Overview:

About ERMCO

Electric Research and Manufacturing Cooperative, Inc. (ERMCO) is the leading manufacturer of distribution transformers and engineered electrical solutions, serving electric utilities, Original Equipment Manufacturers (OEMs), and industrial customers across North America. Headquartered in Dyersburg, Tenn., ERMCO delivers reliable, high-quality products that power homes, businesses, and communities across North America.

With a commitment to safety, operational excellence, and continuous improvement, ERMCO is at the forefront of supporting grid modernization and energy transition. Our vertically integrated operations, customer-focused culture, and investment in people and technology make ERMCO the Most Valued Partner for delivering resilient, sustainable power infrastructure for the future.

ERMCO is hiring a Technology Project Engineer, a pivotal role within our distribution transformer manufacturing organization, tasked with spearheading innovative manufacturing projects and driving technological advancements across production lines. This individual will work closely with the Manager of Enterprise Technology Engineering to implement cutting-edge manufacturing solutions, improve production efficiency, and ensure the highest standards of product quality. The ideal candidate will possess a strong background in manufacturing engineering, project management, and a proven track record of leading successful engineering projects in the manufacturing sector.

Responsibilities:

* Spearhead initiatives to incorporate cutting-edge manufacturing technologies and methodologies to improve efficiency, quality, and scalability.
* Manage project timelines, budgets, and resource allocation to ensure successful implementation.
* Collaborate with Enterprise Technology group to identify and implement new technologies and materials that can enhance transformer performance and longevity.
* Collaborate with IT/OT Engineers to ensure robust and secure information and operational technology systems.

* Stay abreast of industry trends and technological advancements to propose innovative solutions for future product lines.
* Ensure manufacturing processes comply with standards and regulations specific to electrical distribution transformers.
* Lead efforts to make manufacturing processes more sustainable and environmentally friendly, including waste reduction and energy efficiency improvements.
* Ensure compliance with environmental regulations and standards, focusing on minimizing the environmental impact of transformer manufacturing.
* Work closely with the supply chain team to identify and mitigate risks associated with raw materials and component supplies.
* Implement lean manufacturing principles to streamline operations and reduce costs without compromising quality.
* Communicate effectively with stakeholders across the organization to align manufacturing projects with overall business goals.
* Identify potential project risks and develop contingency plans to mitigate these risks, ensuring projects are delivered on time and within budget.
* Regularly review and update risk management strategies in response to both internal and external changes affecting manufacturing.
* Mentor team members and identify opportunities for professional development to build a high-performing project team.
* Oversee the integration of Industry 4.0 technologies, such as IoT, AI, and robotics, into manufacturing processes to enhance productivity and product quality.
* Ensure the smooth implementation of these technologies while minimizing disruption to ongoing operations.

Qualifications:  

* Bachelor’s degree or equivalent level of instruction in Manufacturing Engineering, Mechanical Engineering, Electrical Engineering, or a related field.
* Master’s degree or professional engineering certifications preferred.

* Minimum of 5 years of experience in manufacturing engineering, with at least 2 years in a project leadership role within a manufacturing environment.
* Proven success in leading and delivering complex engineering projects, with a focus on advanced manufacturing technologies and automation.
* Experience in the distribution transformer manufacturing industry is highly desirable.
* Strong background in Lean manufacturing and Six Sigma methodologies.

* In-depth knowledge of advanced manufacturing processes and technology integration.
* Proficient in project management tools and software.
* Strong understanding of mechanical and electrical engineering principles.
* Familiarity with industry standards, compliance requirements, and safety protocols.
* Exceptional leadership and team management skills.
* Excellent analytical, problem-solving, and decision-making abilities.
* Strong communication and interpersonal skills, capable of working effectively across all levels of the organization.
* Innovative and strategic thinker with a focus on continuous improvement.
* Highly organized with the ability to manage multiple projects and priorities simultaneously.

**Join ERMCO and TRANSFORM your career.**

Disclaimer: This job description is intended to convey information essential to understanding the scope of the position and is not an exhaustive list of skills, efforts, duties, responsibilities, or working conditions associated with it. Additional tasks and responsibilities may be assigned as required.",,https://www.indeed.com/cmp/Ermco,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/06923fc940f358168cbacc11c9c1ec03,,,,,,,,,,,,Manila,Philippines,2025-09-02
in-18e78c7e219e4b0b,indeed,https://www.indeed.com/viewjob?jk=18e78c7e219e4b0b,https://app.jobvite.com/CompanyJobs/Job.aspx?j=ocArwfwt&s=Indeed,Electrical Engineer,Nortek,"Dyersburg, TN, US",2025-07-02,fulltime,direct_data,yearly,90565.0,129868.0,USD,False,,,,,"**Cooling the Cloud. Protecting the Planet**

Nortek Data Center Cooling is a part of Madison Air, one of the world’s leading privately held companies. Madison Air combines the nimble responsiveness of a startup with the sophistication and scale of an $11B enterprise. Madison Air is a leader in indoor air quality with a portfolio of 20+ companies and manufacturing brands that help customers move air to powerful new places.

Nortek Data Center Cooling is a leading provider of cooling solutions for data centers, a rapidly expanding market driven by the rise of AI. We serve some of the largest and most innovative companies in the world – delivering superior results, reduced operational costs and sustainable solutions that meet the growing demands of AI, IoT, Edge Computing and more.

*Nortek Data Center Cooling. is an equal employment opportunity and afﬁrmative action employer and all qualiﬁed applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, age, protected veteran status,**sexual orientation, gender identity, status as a qualiﬁed individual with a disability or any other characteristic protected by law.*

*Nortek Air Management and its divisions offer a comprehensive compensation and benefits package.**Our benefits package includes Health, Dental, Vision, Life, STD, LTD, FSA, HAS and 401(k) Plan with company contributions. To apply, please visit our career site at****www.nortekair.com/careers****.*

***Job Summary***

This position is responsible for all aspects of electrical engineering related to the design and development of DCC air handling units. As part of the design engineering team, the Electrical Engineer will be responsible to manage and execute our electrical and electronic design and development.

***Job Responsibilities******:***

* Analyzes existing systems (unit level) and evaluates the suitability of the electrical design and components for the system.
* Develops and documents system level electrical requirements based on unit requirements as well as various electrical and safety codes (not limited to UL /ETL, CE and local requirements) to assure that the equipment is safe and reliable.
* Assures compliance of the electrical designs and applications to various codes.
* Develops and documents electrical designs for equipment applications.
* Peer-reviews other electrical engineer’s work and advises on alternative designs for safety, cost, reliability, and quality improvements.
* Develop design schematics and specify components for product applications.
* Design internal control equipment for safety, testing and electrical control process.
* Write control code for internal and external equipment when required by the design team.
* Maintain revision requirements on control code within equipment controllers.
* Collaborate with manufacturing engineering to lay out wire pulls, wire lengths, routings, and efficiency for cable assemblies and installation.
* Provide UL certification support and lead UL audits as the qualified subject matter expert for UL.
* Collaborate with internal stakeholders and external vendors to ensure design is followed and provide alternate components as needed.
* Support and aid with AutoCad with design layouts.
* Other duties as assigned by the manager.

***Position Qualifications******:***

***Required*****:**

* BSEE or MSEE from an accredited university
* 3+ years of work experience with industrial or commercial products or similar work
* EPlan experience a plus
* Experience with various internal and external compliance standards (UL / ETL, CE, and other relevant standards)
* HVAC/R experience desired
* Leadership skills and experience and the ability to communicate technical concepts effectively, work in teams as well as autonomously, and takes initiative",,https://www.indeed.com/cmp/Nortek-8d5c2d77,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/231ea66c5a37992490e40b4d97be0d5e,https://www.nortek.com/,,"1,001 to 5,000",$1B to $5B (USD),"As part of Madison Air, we are on a mission to make the world safer, healthier, and more productive through the power of better air.",,,,,,,Manila,Philippines,2025-09-02
li-4291541608,linkedin,https://www.linkedin.com/jobs/view/4291541608,,Software Engineer (Python & AI/ML),Optum,"Taguig, National Capital Region, Philippines",2025-08-27,,,,,,,False,,,,,,,https://www.linkedin.com/company/optum,,,,,,,,,,,,,Manila,Philippines,2025-09-02
li-4288159357,linkedin,https://www.linkedin.com/jobs/view/4288159357,,AI Developer,Azeus Systems Limited,"Pasig, National Capital Region, Philippines",2025-08-20,,,,,,,False,,,,,,,https://sg.linkedin.com/company/azeus-systems-ltd,,,,,,,,,,,,,Manila,Philippines,2025-09-02
li-4283170835,linkedin,https://www.linkedin.com/jobs/view/4283170835,,Machine Learning Engineer,Johnson & Johnson,,2025-08-11,,,,,,,False,,,,,,,https://www.linkedin.com/company/johnson-&-johnson,,,,,,,,,,,,,Manila,Philippines,2025-09-02
li-4119894876,linkedin,https://www.linkedin.com/jobs/view/4119894876,,ML/AI Engineer,"JWay Group, Inc.","Pasig, National Capital Region, Philippines",2024-12-16,,,,,,,False,,,,,,,https://www.linkedin.com/company/jway-group,,,,,,,,,,,,,Manila,Philippines,2025-09-02
li-4040034619,linkedin,https://www.linkedin.com/jobs/view/4040034619,,AI Developer,Offshorly - Mobile First Websites | Enterprise Solutions | Digital Outsourcing,"Marikina, National Capital Region, Philippines",2024-10-01,,,,,,,False,,,,,,,https://uk.linkedin.com/company/coapperative---mobile-apps-web-software-development,,,,,,,,,,,,,Manila,Philippines,2025-09-02
